[NÚMERO DE SERIES]
1

[NÚMERO DE REGISTROS]
8036

[VALOR DE DATOS FALTANTES]
2000 8 18 0.000
2000 8 19 0.000
2000 8 20 0.000
2000 8 21 0.000
2000 8 22 0.000
2000 8 23 0.000
2000 8 24 0.000
2000 8 25 0.000
2000 8 26 0.000
2000 8 27 0.000
2000 8 28 0.000
2000 8 29 0.000
2000 8 30 0.000
2000 8 31 0.000
2000 9 1 0.000
2000 9 2 0.000
2000 9 3 0.000
2000 9 4 0.000
2000 9 5 0.000
2000 9 6 0.000
2000 9 7 0.000
2000 9 8 0.000
2000 9 9 0.000
2000 9 10 0.000
2000 9 11 0.000
2000 9 12 0.000
2000 9 13 0.000
2000 9 14 0.000
2000 9 15 0.000
2000 9 16 0.000
2000 9 17 0.000
2000 9 18 0.000
2000 9 19 0.000
2000 9 20 0.000
2000 9 21 0.000
2000 9 22 0.000
2000 9 23 0.000
2000 9 24 0.000
2000 9 25 0.000
2000 9 26 0.000
2000 9 27 0.000
2000 9 28 0.000
2000 9 29 0.000
2000 9 30 0.000
2000 10 1 0.000
2000 10 2 0.000
2000 10 3 0.000
2000 10 4 0.000
2000 10 5 0.000
2000 10 6 0.000
2000 10 7 0.000
2000 10 8 0.000
2000 10 9 0.000
2000 10 10 0.000
2000 10 11 0.000
2000 10 12 0.000
2000 10 13 0.000
2000 10 14 0.000
2000 10 15 0.000
2000 10 16 0.000
2000 10 17 0.000
2000 10 18 0.000
2000 10 19 0.000
2000 10 20 0.000
2000 10 21 0.000
2000 10 22 0.000
2000 10 23 0.000
2000 10 24 0.000
2000 10 25 0.000
2000 10 26 0.000
2000 10 27 0.000
2000 10 28 0.000
2000 10 29 0.000
2000 10 30 0.000
2000 10 31 0.000
2000 11 1 0.000
2000 11 2 0.000
2000 11 3 0.000
2000 11 4 0.000
2000 11 5 0.000
2000 11 6 0.000
2000 11 7 0.000
2000 11 8 0.000
2000 11 9 0.000
2000 11 10 0.000
2000 11 11 0.000
2000 11 12 0.000
2000 11 13 0.000
2000 11 14 0.000
2000 11 15 0.000
2000 11 16 0.000
2000 11 17 0.000
2000 11 18 0.000
2000 11 19 0.000
2000 11 20 0.000
2000 11 21 0.000
2000 11 22 0.000
2000 11 23 0.000
2000 11 24 0.000
2000 11 25 0.000
2000 11 26 0.000
2000 11 27 0.000
2000 11 28 0.000
2000 11 29 0.000
2000 11 30 0.000
2000 12 1 0.000
2000 12 2 0.000
2000 12 3 0.000
2000 12 4 0.000
2000 12 5 0.000
2000 12 6 0.000
2000 12 7 0.000
2000 12 8 0.000
2000 12 9 0.000
2000 12 10 0.000
2000 12 11 0.000
2000 12 12 0.000
2000 12 13 0.000
2000 12 14 0.000
2000 12 15 0.000
2000 12 16 0.000
2000 12 17 0.000
2000 12 18 0.000
2000 12 19 0.000
2000 12 20 0.000
2000 12 21 0.000
2000 12 22 0.000
2000 12 23 0.000
2000 12 24 0.000
2000 12 25 0.000
2000 12 26 0.000
2000 12 27 0.000
2000 12 28 0.000
2000 12 29 0.000
2000 12 30 0.000
2000 12 31 0.000
2001 1 1 0.000
2001 1 2 0.000
2001 1 3 0.000
2001 1 4 0.000
2001 1 5 0.000
2001 1 6 0.000
2001 1 7 0.000
2001 1 8 0.000
2001 1 9 0.000
2001 1 10 0.000
2001 1 11 0.000
2001 1 12 0.000
2001 1 13 0.000
2001 1 14 0.000
2001 1 15 0.000
2001 1 16 0.000
2001 1 17 0.000
2001 1 18 0.000
2001 1 19 0.000
2001 1 20 0.000
2001 1 21 0.000
2001 1 22 0.000
2001 1 23 0.000
2001 1 24 0.000
2001 1 25 0.000
2001 1 26 0.000
2001 1 27 0.000
2001 1 28 0.000
2001 1 29 0.000
2001 1 30 0.000
2001 1 31 0.000
2001 2 1 0.000
2001 2 2 0.000
2001 2 3 0.000
2001 2 4 0.000
2001 2 5 0.000
2001 2 6 0.000
2001 2 7 0.000
2001 2 8 0.000
2001 2 9 0.000
2001 2 10 0.000
2001 2 11 0.000
2001 2 12 0.000
2001 2 13 0.000
2001 2 14 0.000
2001 2 15 0.000
2001 2 16 0.000
2001 2 17 0.000
2001 2 18 9244.800
2001 2 19 41558.400
2001 2 20 98064.000
2001 2 21 72316.800
2001 2 22 95299.200
2001 2 23 95299.200
2001 2 24 94953.600
2001 2 25 94694.400
2001 2 26 44841.600
2001 2 27 0.000
2001 2 28 0.000
2001 3 1 0.000
2001 3 2 0.000
2001 3 3 0.000
2001 3 4 0.000
2001 3 5 0.000
2001 3 6 0.000
2001 3 7 0.000
2001 3 8 0.000
2001 3 9 0.000
2001 3 10 0.000
2001 3 11 0.000
2001 3 12 0.000
2001 3 13 0.000
2001 3 14 0.000
2001 3 15 0.000
2001 3 16 0.000
2001 3 17 0.000
2001 3 18 0.000
2001 3 19 0.000
2001 3 20 0.000
2001 3 21 0.000
2001 3 22 0.000
2001 3 23 0.000
2001 3 24 0.000
2001 3 25 0.000
2001 3 26 0.000
2001 3 27 0.000
2001 3 28 0.000
2001 3 29 0.000
2001 3 30 0.000
2001 3 31 0.000
2001 4 1 0.000
2001 4 2 0.000
2001 4 3 0.000
2001 4 4 0.000
2001 4 5 0.000
2001 4 6 0.000
2001 4 7 0.000
2001 4 8 0.000
2001 4 9 0.000
2001 4 10 0.000
2001 4 11 0.000
2001 4 12 0.000
2001 4 13 0.000
2001 4 14 0.000
2001 4 15 0.000
2001 4 16 0.000
2001 4 17 0.000
2001 4 18 0.000
2001 4 19 0.000
2001 4 20 0.000
2001 4 21 0.000
2001 4 22 0.000
2001 4 23 0.000
2001 4 24 0.000
2001 4 25 0.000
2001 4 26 0.000
2001 4 27 0.000
2001 4 28 0.000
2001 4 29 0.000
2001 4 30 0.000
2001 5 1 0.000
2001 5 2 0.000
2001 5 3 0.000
2001 5 4 0.000
2001 5 5 0.000
2001 5 6 0.000
2001 5 7 0.000
2001 5 8 0.000
2001 5 9 0.000
2001 5 10 0.000
2001 5 11 0.000
2001 5 12 0.000
2001 5 13 0.000
2001 5 14 0.000
2001 5 15 0.000
2001 5 16 0.000
2001 5 17 0.000
2001 5 18 0.000
2001 5 19 0.000
2001 5 20 0.000
2001 5 21 0.000
2001 5 22 0.000
2001 5 23 0.000
2001 5 24 0.000
2001 5 25 0.000
2001 5 26 0.000
2001 5 27 0.000
2001 5 28 0.000
2001 5 29 0.000
2001 5 30 0.000
2001 5 31 0.000
2001 6 1 0.000
2001 6 2 0.000
2001 6 3 0.000
2001 6 4 0.000
2001 6 5 0.000
2001 6 6 0.000
2001 6 7 0.000
2001 6 8 0.000
2001 6 9 0.000
2001 6 10 0.000
2001 6 11 0.000
2001 6 12 0.000
2001 6 13 0.000
2001 6 14 0.000
2001 6 15 0.000
2001 6 16 0.000
2001 6 17 0.000
2001 6 18 0.000
2001 6 19 0.000
2001 6 20 0.000
2001 6 21 0.000
2001 6 22 0.000
2001 6 23 0.000
2001 6 24 0.000
2001 6 25 0.000
2001 6 26 0.000
2001 6 27 0.000
2001 6 28 0.000
2001 6 29 0.000
2001 6 30 0.000
2001 7 1 0.000
2001 7 2 0.000
2001 7 3 0.000
2001 7 4 0.000
2001 7 5 0.000
2001 7 6 0.000
2001 7 7 0.000
2001 7 8 0.000
2001 7 9 0.000
2001 7 10 0.000
2001 7 11 0.000
2001 7 12 0.000
2001 7 13 0.000
2001 7 14 0.000
2001 7 15 0.000
2001 7 16 0.000
2001 7 17 0.000
2001 7 18 0.000
2001 7 19 0.000
2001 7 20 0.000
2001 7 21 0.000
2001 7 22 0.000
2001 7 23 0.000
2001 7 24 0.000
2001 7 25 0.000
2001 7 26 0.000
2001 7 27 0.000
2001 7 28 0.000
2001 7 29 0.000
2001 7 30 0.000
2001 7 31 0.000
2001 8 1 0.000
2001 8 2 0.000
2001 8 3 0.000
2001 8 4 0.000
2001 8 5 0.000
2001 8 6 0.000
2001 8 7 0.000
2001 8 8 0.000
2001 8 9 259.200
2001 8 10 518.400
2001 8 11 864.000
2001 8 12 1296.000
2001 8 13 1900.800
2001 8 14 42595.200
2001 8 15 95904.000
2001 8 16 154483.200
2001 8 17 159062.400
2001 8 18 179452.800
2001 8 19 239846.400
2001 8 20 246067.200
2001 8 21 252288.000
2001 8 22 252547.200
2001 8 23 237427.200
2001 8 24 236304.000
2001 8 25 224553.600
2001 8 26 235526.400
2001 8 27 186969.600
2001 8 28 145843.200
2001 8 29 142992.000
2001 8 30 142992.000
2001 8 31 142992.000
2001 9 1 142992.000
2001 9 2 142992.000
2001 9 3 142992.000
2001 9 4 142992.000
2001 9 5 142819.200
2001 9 6 142560.000
2001 9 7 142387.200
2001 9 8 142214.400
2001 9 9 141955.200
2001 9 10 141782.400
2001 9 11 74822.400
2001 9 12 345.600
2001 9 13 124329.600
2001 9 14 53049.600
2001 9 15 0.000
2001 9 16 0.000
2001 9 17 0.000
2001 9 18 0.000
2001 9 19 0.000
2001 9 20 0.000
2001 9 21 0.000
2001 9 22 0.000
2001 9 23 0.000
2001 9 24 0.000
2001 9 25 0.000
2001 9 26 0.000
2001 9 27 0.000
2001 9 28 0.000
2001 9 29 0.000
2001 9 30 0.000
2001 10 1 0.000
2001 10 2 0.000
2001 10 3 0.000
2001 10 4 0.000
2001 10 5 0.000
2001 10 6 0.000
2001 10 7 0.000
2001 10 8 0.000
2001 10 9 0.000
2001 10 10 0.000
2001 10 11 0.000
2001 10 12 0.000
2001 10 13 0.000
2001 10 14 0.000
2001 10 15 0.000
2001 10 16 0.000
2001 10 17 0.000
2001 10 18 0.000
2001 10 19 0.000
2001 10 20 0.000
2001 10 21 0.000
2001 10 22 0.000
2001 10 23 0.000
2001 10 24 0.000
2001 10 25 0.000
2001 10 26 0.000
2001 10 27 0.000
2001 10 28 0.000
2001 10 29 0.000
2001 10 30 0.000
2001 10 31 0.000
2001 11 1 0.000
2001 11 2 0.000
2001 11 3 0.000
2001 11 4 0.000
2001 11 5 0.000
2001 11 6 0.000
2001 11 7 0.000
2001 11 8 0.000
2001 11 9 0.000
2001 11 10 0.000
2001 11 11 0.000
2001 11 12 0.000
2001 11 13 0.000
2001 11 14 0.000
2001 11 15 0.000
2001 11 16 0.000
2001 11 17 0.000
2001 11 18 0.000
2001 11 19 0.000
2001 11 20 0.000
2001 11 21 0.000
2001 11 22 0.000
2001 11 23 0.000
2001 11 24 0.000
2001 11 25 0.000
2001 11 26 0.000
2001 11 27 0.000
2001 11 28 0.000
2001 11 29 0.000
2001 11 30 0.000
2001 12 1 0.000
2001 12 2 0.000
2001 12 3 0.000
2001 12 4 0.000
2001 12 5 0.000
2001 12 6 0.000
2001 12 7 0.000
2001 12 8 0.000
2001 12 9 0.000
2001 12 10 0.000
2001 12 11 0.000
2001 12 12 0.000
2001 12 13 0.000
2001 12 14 0.000
2001 12 15 0.000
2001 12 16 0.000
2001 12 17 0.000
2001 12 18 0.000
2001 12 19 0.000
2001 12 20 0.000
2001 12 21 0.000
2001 12 22 0.000
2001 12 23 0.000
2001 12 24 0.000
2001 12 25 0.000
2001 12 26 0.000
2001 12 27 0.000
2001 12 28 0.000
2001 12 29 0.000
2001 12 30 0.000
2001 12 31 0.000
2002 1 1 0.000
2002 1 2 0.000
2002 1 3 0.000
2002 1 4 0.000
2002 1 5 0.000
2002 1 6 0.000
2002 1 7 0.000
2002 1 8 0.000
2002 1 9 0.000
2002 1 10 0.000
2002 1 11 0.000
2002 1 12 0.000
2002 1 13 0.000
2002 1 14 0.000
2002 1 15 0.000
2002 1 16 0.000
2002 1 17 0.000
2002 1 18 0.000
2002 1 19 0.000
2002 1 20 0.000
2002 1 21 0.000
2002 1 22 0.000
2002 1 23 0.000
2002 1 24 0.000
2002 1 25 0.000
2002 1 26 0.000
2002 1 27 0.000
2002 1 28 0.000
2002 1 29 0.000
2002 1 30 0.000
2002 1 31 0.000
2002 2 1 62726.400
2002 2 2 142992.000
2002 2 3 142992.000
2002 2 4 142992.000
2002 2 5 142992.000
2002 2 6 142992.000
2002 2 7 142992.000
2002 2 8 142992.000
2002 2 9 142992.000
2002 2 10 142992.000
2002 2 11 142992.000
2002 2 12 142992.000
2002 2 13 142992.000
2002 2 14 142992.000
2002 2 15 142992.000
2002 2 16 142992.000
2002 2 17 142992.000
2002 2 18 142992.000
2002 2 19 142992.000
2002 2 20 142992.000
2002 2 21 142992.000
2002 2 22 142992.000
2002 2 23 142992.000
2002 2 24 142992.000
2002 2 25 142992.000
2002 2 26 142992.000
2002 2 27 142992.000
2002 2 28 142992.000
2002 3 1 142992.000
2002 3 2 142992.000
2002 3 3 142992.000
2002 3 4 142992.000
2002 3 5 142992.000
2002 3 6 142992.000
2002 3 7 142992.000
2002 3 8 190684.800
2002 3 9 227577.600
2002 3 10 188784.000
2002 3 11 143424.000
2002 3 12 140572.800
2002 3 13 140140.800
2002 3 14 139708.800
2002 3 15 139276.800
2002 3 16 138758.400
2002 3 17 138326.400
2002 3 18 137894.400
2002 3 19 137548.800
2002 3 20 137116.800
2002 3 21 136684.800
2002 3 22 136944.000
2002 3 23 137721.600
2002 3 24 121305.600
2002 3 25 1209.600
2002 3 26 0.000
2002 3 27 0.000
2002 3 28 0.000
2002 3 29 0.000
2002 3 30 0.000
2002 3 31 0.000
2002 4 1 0.000
2002 4 2 86.400
2002 4 3 691.200
2002 4 4 1641.600
2002 4 5 1555.200
2002 4 6 1036.800
2002 4 7 102124.800
2002 4 8 195782.400
2002 4 9 196646.400
2002 4 10 197510.400
2002 4 11 197942.400
2002 4 12 107913.600
2002 4 13 1382.400
2002 4 14 950.400
2002 4 15 864.000
2002 4 16 518.400
2002 4 17 432.000
2002 4 18 518.400
2002 4 19 518.400
2002 4 20 518.400
2002 4 21 604.800
2002 4 22 604.800
2002 4 23 604.800
2002 4 24 604.800
2002 4 25 864.000
2002 4 26 1209.600
2002 4 27 1468.800
2002 4 28 1209.600
2002 4 29 1036.800
2002 4 30 864.000
2002 5 1 777.600
2002 5 2 777.600
2002 5 3 777.600
2002 5 4 777.600
2002 5 5 864.000
2002 5 6 604.800
2002 5 7 86.400
2002 5 8 0.000
2002 5 9 0.000
2002 5 10 0.000
2002 5 11 0.000
2002 5 12 0.000
2002 5 13 0.000
2002 5 14 0.000
2002 5 15 0.000
2002 5 16 0.000
2002 5 17 0.000
2002 5 18 0.000
2002 5 19 0.000
2002 5 20 0.000
2002 5 21 0.000
2002 5 22 0.000
2002 5 23 0.000
2002 5 24 0.000
2002 5 25 0.000
2002 5 26 0.000
2002 5 27 0.000
2002 5 28 0.000
2002 5 29 0.000
2002 5 30 0.000
2002 5 31 0.000
2002 6 1 0.000
2002 6 2 0.000
2002 6 3 0.000
2002 6 4 0.000
2002 6 5 0.000
2002 6 6 0.000
2002 6 7 0.000
2002 6 8 0.000
2002 6 9 0.000
2002 6 10 0.000
2002 6 11 0.000
2002 6 12 0.000
2002 6 13 0.000
2002 6 14 0.000
2002 6 15 0.000
2002 6 16 0.000
2002 6 17 0.000
2002 6 18 0.000
2002 6 19 0.000
2002 6 20 0.000
2002 6 21 0.000
2002 6 22 0.000
2002 6 23 0.000
2002 6 24 0.000
2002 6 25 0.000
2002 6 26 0.000
2002 6 27 0.000
2002 6 28 0.000
2002 6 29 0.000
2002 6 30 0.000
2002 7 1 0.000
2002 7 2 0.000
2002 7 3 0.000
2002 7 4 0.000
2002 7 5 0.000
2002 7 6 0.000
2002 7 7 0.000
2002 7 8 0.000
2002 7 9 0.000
2002 7 10 0.000
2002 7 11 0.000
2002 7 12 0.000
2002 7 13 0.000
2002 7 14 0.000
2002 7 15 0.000
2002 7 16 0.000
2002 7 17 0.000
2002 7 18 0.000
2002 7 19 0.000
2002 7 20 0.000
2002 7 21 0.000
2002 7 22 0.000
2002 7 23 0.000
2002 7 24 0.000
2002 7 25 0.000
2002 7 26 0.000
2002 7 27 0.000
2002 7 28 0.000
2002 7 29 0.000
2002 7 30 0.000
2002 7 31 0.000
2002 8 1 0.000
2002 8 2 0.000
2002 8 3 0.000
2002 8 4 0.000
2002 8 5 0.000
2002 8 6 0.000
2002 8 7 0.000
2002 8 8 0.000
2002 8 9 0.000
2002 8 10 0.000
2002 8 11 0.000
2002 8 12 0.000
2002 8 13 0.000
2002 8 14 0.000
2002 8 15 0.000
2002 8 16 0.000
2002 8 17 0.000
2002 8 18 0.000
2002 8 19 0.000
2002 8 20 0.000
2002 8 21 0.000
2002 8 22 0.000
2002 8 23 0.000
2002 8 24 42163.200
2002 8 25 124761.600
2002 8 26 238982.400
2002 8 27 235785.600
2002 8 28 231379.200
2002 8 29 98928.000
2002 8 30 122342.400
2002 8 31 216259.200
2002 9 1 222220.800
2002 9 2 217900.800
2002 9 3 125193.600
2002 9 4 86.400
2002 9 5 0.000
2002 9 6 0.000
2002 9 7 0.000
2002 9 8 0.000
2002 9 9 0.000
2002 9 10 155433.600
2002 9 11 187747.200
2002 9 12 310435.200
2002 9 13 350784.000
2002 9 14 350784.000
2002 9 15 146016.000
2002 9 16 339897.600
2002 9 17 220924.800
2002 9 18 327369.600
2002 9 19 132192.000
2002 9 20 0.000
2002 9 21 0.000
2002 9 22 91324.800
2002 9 23 203904.000
2002 9 24 202521.600
2002 9 25 204076.800
2002 9 26 188524.800
2002 9 27 950.400
2002 9 28 259.200
2002 9 29 0.000
2002 9 30 0.000
2002 10 1 0.000
2002 10 2 0.000
2002 10 3 0.000
2002 10 4 60652.800
2002 10 5 242006.400
2002 10 6 244425.600
2002 10 7 243734.400
2002 10 8 243129.600
2002 10 9 210556.800
2002 10 10 185328.000
2002 10 11 172368.000
2002 10 12 102384.000
2002 10 13 101606.400
2002 10 14 101347.200
2002 10 15 102038.400
2002 10 16 101865.600
2002 10 17 100656.000
2002 10 18 76204.800
2002 10 19 57110.400
2002 10 20 55123.200
2002 10 21 46224.000
2002 10 22 14515.200
2002 10 23 4060.800
2002 10 24 0.000
2002 10 25 0.000
2002 10 26 0.000
2002 10 27 0.000
2002 10 28 0.000
2002 10 29 0.000
2002 10 30 0.000
2002 10 31 0.000
2002 11 1 0.000
2002 11 2 0.000
2002 11 3 0.000
2002 11 4 0.000
2002 11 5 0.000
2002 11 6 0.000
2002 11 7 0.000
2002 11 8 0.000
2002 11 9 0.000
2002 11 10 0.000
2002 11 11 0.000
2002 11 12 0.000
2002 11 13 0.000
2002 11 14 0.000
2002 11 15 0.000
2002 11 16 0.000
2002 11 17 0.000
2002 11 18 0.000
2002 11 19 0.000
2002 11 20 0.000
2002 11 21 0.000
2002 11 22 0.000
2002 11 23 0.000
2002 11 24 0.000
2002 11 25 0.000
2002 11 26 0.000
2002 11 27 0.000
2002 11 28 0.000
2002 11 29 0.000
2002 11 30 82425.600
2002 12 1 147744.000
2002 12 2 147744.000
2002 12 3 110937.600
2002 12 4 60393.600
2002 12 5 139363.200
2002 12 6 139017.600
2002 12 7 137894.400
2002 12 8 137894.400
2002 12 9 138844.800
2002 12 10 41040.000
2002 12 11 0.000
2002 12 12 0.000
2002 12 13 0.000
2002 12 14 0.000
2002 12 15 0.000
2002 12 16 0.000
2002 12 17 0.000
2002 12 18 0.000
2002 12 19 0.000
2002 12 20 0.000
2002 12 21 0.000
2002 12 22 0.000
2002 12 23 0.000
2002 12 24 0.000
2002 12 25 0.000
2002 12 26 0.000
2002 12 27 0.000
2002 12 28 0.000
2002 12 29 0.000
2002 12 30 0.000
2002 12 31 0.000
2003 1 1 0.000
2003 1 2 0.000
2003 1 3 0.000
2003 1 4 0.000
2003 1 5 0.000
2003 1 6 0.000
2003 1 7 0.000
2003 1 8 0.000
2003 1 9 0.000
2003 1 10 0.000
2003 1 11 127180.800
2003 1 12 142992.000
2003 1 13 142992.000
2003 1 14 142992.000
2003 1 15 144028.800
2003 1 16 146361.600
2003 1 17 146361.600
2003 1 18 146361.600
2003 1 19 146361.600
2003 1 20 146361.600
2003 1 21 146361.600
2003 1 22 146361.600
2003 1 23 146361.600
2003 1 24 192412.800
2003 1 25 271382.400
2003 1 26 271382.400
2003 1 27 271382.400
2003 1 28 271382.400
2003 1 29 260323.200
2003 1 30 215222.400
2003 1 31 259200.000
2003 2 1 266198.400
2003 2 2 209174.400
2003 2 3 143251.200
2003 2 4 142905.600
2003 2 5 141177.600
2003 2 6 139104.000
2003 2 7 137116.800
2003 2 8 114739.200
2003 2 9 136771.200
2003 2 10 137721.600
2003 2 11 138585.600
2003 2 12 125798.400
2003 2 13 142473.600
2003 2 14 143078.400
2003 2 15 143596.800
2003 2 16 144201.600
2003 2 17 144720.000
2003 2 18 145324.800
2003 2 19 145843.200
2003 2 20 16848.000
2003 2 21 1296.000
2003 2 22 1814.400
2003 2 23 2419.200
2003 2 24 113788.800
2003 2 25 227750.400
2003 2 26 209952.000
2003 2 27 209433.600
2003 2 28 257040.000
2003 3 1 256694.400
2003 3 2 256348.800
2003 3 3 171936.000
2003 3 4 144979.200
2003 3 5 145411.200
2003 3 6 153878.400
2003 3 7 141264.000
2003 3 8 139363.200
2003 3 9 137462.400
2003 3 10 135734.400
2003 3 11 134179.200
2003 3 12 133920.000
2003 3 13 133920.000
2003 3 14 133920.000
2003 3 15 133920.000
2003 3 16 133920.000
2003 3 17 82944.000
2003 3 18 138240.000
2003 3 19 53308.800
2003 3 20 0.000
2003 3 21 0.000
2003 3 22 0.000
2003 3 23 0.000
2003 3 24 0.000
2003 3 25 0.000
2003 3 26 0.000
2003 3 27 0.000
2003 3 28 0.000
2003 3 29 0.000
2003 3 30 0.000
2003 3 31 0.000
2003 4 1 0.000
2003 4 2 0.000
2003 4 3 226108.800
2003 4 4 350784.000
2003 4 5 350784.000
2003 4 6 350784.000
2003 4 7 -9999.000
2003 4 8 -9999.000
2003 4 9 -9999.000
2003 4 10 -9999.000
2003 4 11 350784.000
2003 4 12 350784.000
2003 4 13 350784.000
2003 4 14 350784.000
2003 4 15 350784.000
2003 4 16 350784.000
2003 4 17 350784.000
2003 4 18 350784.000
2003 4 19 350784.000
2003 4 20 350784.000
2003 4 21 350784.000
2003 4 22 350784.000
2003 4 23 350784.000
2003 4 24 350784.000
2003 4 25 350784.000
2003 4 26 350784.000
2003 4 27 350784.000
2003 4 28 350784.000
2003 4 29 350784.000
2003 4 30 350784.000
2003 5 1 350784.000
2003 5 2 350784.000
2003 5 3 350784.000
2003 5 4 350784.000
2003 5 5 350784.000
2003 5 6 350784.000
2003 5 7 350784.000
2003 5 8 350784.000
2003 5 9 350784.000
2003 5 10 350784.000
2003 5 11 350784.000
2003 5 12 350784.000
